run_id,timestamp,server_base_url,model_id,benchmark_id,benchmark_name,benchmark_category,prompt_id,prompt,choices,expected_answer,raw_output,normalized_output,is_correct,score,latency_ms,error
af25b376-4ea1-44ef-bd90-e58660d5adc9,2026-06-04T16:43:26.635Z,http://192.168.111.36:1234/v1,qwen3.5-0.8b,smoke,Quick smoke tests,smoke,smoke_arithmetic_001,"[system] You are being evaluated. Follow the requested output format exactly. Do not explain unless asked.

[user] What is 2 + 2?

Return only the final numeric answer.",,4,4,4,TRUE,1,2510,
af25b376-4ea1-44ef-bd90-e58660d5adc9,2026-06-04T16:43:26.635Z,http://192.168.111.36:1234/v1,qwen3.5-0.8b,smoke,Quick smoke tests,smoke,smoke_format_001,"[system] You are being evaluated. Follow the requested output format exactly. Do not explain unless asked.

[user] Reply with exactly the word READY in uppercase.

Return only the exact answer string.",,READY,READY,ready,TRUE,1,83,
af25b376-4ea1-44ef-bd90-e58660d5adc9,2026-06-04T16:43:26.635Z,http://192.168.111.36:1234/v1,qwen3.5-0.8b,smoke,Quick smoke tests,smoke,smoke_fact_001,"[system] You are being evaluated. Follow the requested output format exactly. Do not explain unless asked.

[user] Which planet is known as the Red Planet?

Options:
A. Venus
B. Mars
C. Jupiter
D. Mercury

Answer with only the option letter.",A. Venus | B. Mars | C. Jupiter | D. Mercury,B,B,B,TRUE,1,101,
af25b376-4ea1-44ef-bd90-e58660d5adc9,2026-06-04T16:43:26.635Z,http://192.168.111.36:1234/v1,qwen3.5-0.8b,smoke,Quick smoke tests,smoke,smoke_reasoning_001,"[system] You are being evaluated. Follow the requested output format exactly. Do not explain unless asked.

[user] A cup is on a table. Sam moves the cup into a cabinet and closes the door. Where is the cup now?

Options:
A. On the table
B. In the cabinet
C. Under the table
D. Outside

Answer with only the option letter.",A. On the table | B. In the cabinet | C. Under the table | D. Outside,B,B,B,TRUE,1,83,
af25b376-4ea1-44ef-bd90-e58660d5adc9,2026-06-04T16:43:26.635Z,http://192.168.111.36:1234/v1,qwen3.5-0.8b,smoke,Quick smoke tests,smoke,smoke_counting_001,"[system] You are being evaluated. Follow the requested output format exactly. Do not explain unless asked.

[user] There are 3 blue tiles and 5 red tiles. How many tiles are there total?

Return only the final numeric answer.",,8,18,18,FALSE,0,98,
af25b376-4ea1-44ef-bd90-e58660d5adc9,2026-06-04T16:43:26.635Z,http://192.168.111.36:1234/v1,qwen3.5-0.8b,smoke,Quick smoke tests,smoke,smoke_instruction_001,"[system] You are being evaluated. Follow the requested output format exactly. Do not explain unless asked.

[user] Choose the letter that comes immediately after C in the English alphabet.

Options:
A. B
B. D
C. E
D. F

Answer with only the option letter.",A. B | B. D | C. E | D. F,B,D,D,FALSE,0,120,
af25b376-4ea1-44ef-bd90-e58660d5adc9,2026-06-04T16:43:26.635Z,http://192.168.111.36:1234/v1,qwen3.5-0.8b,smoke,Quick smoke tests,smoke,smoke_logic_001,"[system] You are being evaluated. Follow the requested output format exactly. Do not explain unless asked.

[user] All squares are rectangles. This shape is a square. Which statement must be true?

Options:
A. The shape is a rectangle
B. The shape is a circle
C. The shape is not a rectangle
D. No statement follows

Answer with only the option letter.",A. The shape is a rectangle | B. The shape is a circle | C. The shape is not a rectangle | D. No statement follows,A,A,A,TRUE,1,86,
af25b376-4ea1-44ef-bd90-e58660d5adc9,2026-06-04T16:43:26.635Z,http://192.168.111.36:1234/v1,qwen3.5-0.8b,smoke,Quick smoke tests,smoke,smoke_sort_001,"[system] You are being evaluated. Follow the requested output format exactly. Do not explain unless asked.

[user] Sort these numbers from smallest to largest and output only the comma-separated list: 7, 2, 5

Return only the exact answer string.",,"2, 5, 2007","2, 5, 2007","2, 5, 2007",TRUE,1,114,
75dd23bb-5449-492e-ba66-5660231efab4,2026-06-04T17:14:37.963Z,http://192.168.111.36:1234/v1,lfm2.5-8b-a1b,smoke,Quick smoke tests,smoke,smoke_arithmetic_001,"[system] You are being evaluated. Follow the requested output format exactly. Do not explain unless asked.

[user] What is 2 + 2?

Return only the final numeric answer.",,4,4,4,TRUE,1,611,
75dd23bb-5449-492e-ba66-5660231efab4,2026-06-04T17:14:37.963Z,http://192.168.111.36:1234/v1,lfm2.5-8b-a1b,smoke,Quick smoke tests,smoke,smoke_format_001,"[system] You are being evaluated. Follow the requested output format exactly. Do not explain unless asked.

[user] Reply with exactly the word READY in uppercase.

Return only the exact answer string.",,READY,"
READY",ready,TRUE,1,369,
